Information listing created by	
bruno


Date	
04-Dec-2021 18:43:48


Current work part	
C:\Users\bruno\Desktop\proj mcomp\62\62_new_fem.fem


Node name	
laptop-tiemtdga


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Mesh           | Connected Nodes
  173                  | 2d_mesh(5)     | 109 115 114
  174                  | 2d_mesh(5)     | 142 114 141
  175                  | 2d_mesh(5)     | 115 112 114
  176                  | 2d_mesh(5)     | 112 141 114
  177                  | 2d_mesh(5)     | 116 111 115
  178                  | 2d_mesh(5)     | 111 112 115
  179                  | 2d_mesh(5)     | 19 105 74
  180                  | 2d_mesh(5)     | 111 116 105
  181                  | 2d_mesh(5)     | 116 74 105
  182                  | 2d_mesh(5)     | 145 121 144
  183                  | 2d_mesh(5)     | 110 143 117
  184                  | 2d_mesh(5)     | 118 117 121
  185                  | 2d_mesh(5)     | 143 144 117
  186                  | 2d_mesh(5)     | 144 121 117
  187                  | 2d_mesh(5)     | 153 154 122
  188                  | 2d_mesh(5)     | 123 156 155
  189                  | 2d_mesh(5)     | 156 161 155
  190                  | 2d_mesh(5)     | 124 160 156
  191                  | 2d_mesh(5)     | 160 124 154
  192                  | 2d_mesh(5)     | 154 124 122
  193                  | 2d_mesh(5)     | 156 123 124
  194                  | 2d_mesh(5)     | 123 122 124
  195                  | 2d_mesh(5)     | 126 123 159
  196                  | 2d_mesh(5)     | 123 155 159
  197                  | 2d_mesh(5)     | 122 125 153
  198                  | 2d_mesh(5)     | 125 152 153
  199                  | 2d_mesh(5)     | 123 126 122
  200                  | 2d_mesh(5)     | 126 125 122
  201                  | 2d_mesh(5)     | 125 126 127
  202                  | 2d_mesh(5)     | 159 147 126
  203                  | 2d_mesh(5)     | 126 147 127
  204                  | 2d_mesh(5)     | 120 127 148
  205                  | 2d_mesh(5)     | 127 147 148
  206                  | 2d_mesh(5)     | 150 151 128
  207                  | 2d_mesh(5)     | 127 129 125
  208                  | 2d_mesh(5)     | 129 152 125
  209                  | 2d_mesh(5)     | 151 152 128
  210                  | 2d_mesh(5)     | 152 129 128
  211                  | 2d_mesh(5)     | 129 127 130
  212                  | 2d_mesh(5)     | 119 130 120
  213                  | 2d_mesh(5)     | 130 127 120
  214                  | 2d_mesh(5)     | 146 131 145
  215                  | 2d_mesh(5)     | 131 121 145
  216                  | 2d_mesh(5)     | 131 132 121
  217                  | 2d_mesh(5)     | 131 129 132
  218                  | 2d_mesh(5)     | 130 119 132
  219                  | 2d_mesh(5)     | 121 132 118
  220                  | 2d_mesh(5)     | 132 119 118
  221                  | 2d_mesh(5)     | 130 132 129
  222                  | 2d_mesh(5)     | 128 133 150
  223                  | 2d_mesh(5)     | 146 158 133
  224                  | 2d_mesh(5)     | 158 150 133
  225                  | 2d_mesh(5)     | 129 131 128
  226                  | 2d_mesh(5)     | 146 133 131
  227                  | 2d_mesh(5)     | 133 128 131
  228                  | 2d_mesh(5)     | 120 135 119
  229                  | 2d_mesh(5)     | 135 134 119
  230                  | 2d_mesh(5)     | 78 134 79
  231                  | 2d_mesh(5)     | 134 135 79
  232                  | 2d_mesh(5)     | 148 149 120
  233                  | 2d_mesh(5)     | 120 149 135
  234                  | 2d_mesh(5)     | 79 135 80
  235                  | 2d_mesh(5)     | 149 92 135
  236                  | 2d_mesh(5)     | 92 80 135
  237                  | 2d_mesh(5)     | 119 134 118
  238                  | 2d_mesh(5)     | 78 136 134
  239                  | 2d_mesh(5)     | 117 118 136
  240                  | 2d_mesh(5)     | 118 134 136
  241                  | 2d_mesh(5)     | 109 110 137
  242                  | 2d_mesh(5)     | 136 137 117
  243                  | 2d_mesh(5)     | 137 110 117
  244                  | 2d_mesh(5)     | 78 77 136
  245                  | 2d_mesh(5)     | 77 137 136
  246                  | 2d_mesh(5)     | 75 109 76
  247                  | 2d_mesh(5)     | 77 76 137
  248                  | 2d_mesh(5)     | 76 109 137
  249                  | 2d_mesh(6)     | 173 168 162
  250                  | 2d_mesh(6)     | 173 162 171
  251                  | 2d_mesh(6)     | 168 169 163
  252                  | 2d_mesh(6)     | 168 163 162
  253                  | 2d_mesh(6)     | 169 170 164
  254                  | 2d_mesh(6)     | 169 164 163
  255                  | 2d_mesh(6)     | 170 161 156
  256                  | 2d_mesh(6)     | 170 156 164
  257                  | 2d_mesh(6)     | 164 156 160
  258                  | 2d_mesh(6)     | 164 160 165
  259                  | 2d_mesh(6)     | 163 164 165
  260                  | 2d_mesh(6)     | 163 165 166
  261                  | 2d_mesh(6)     | 162 163 166
  262                  | 2d_mesh(6)     | 162 166 167
  263                  | 2d_mesh(6)     | 171 162 167
  264                  | 2d_mesh(6)     | 171 167 172
 
------------------------------------------------------------
 
