"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"Venturi","Numba CUDA","341","86","38ms","<0.01s","32ms","132","0 MB","-","✓","Jan 7, 07:40 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","19.28s","4.48s","11.00s","9871","1.69 GB","559 MB","✓","Jan 7, 07:40 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","19.46s","4.49s","10.98s","9871","1.57 GB","559 MB","✓","Jan 7, 07:40 PM"
"Y-Shaped","Numba CUDA","1 357 953","338 544","19.32s","4.41s","11.01s","9871","1.69 GB","559 MB","✓","Jan 7, 07:40 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","9.57s","2.55s","4.85s","7508","715 MB","318 MB","✓","Jan 7, 07:39 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","9.40s","2.50s","4.84s","7508","718 MB","312 MB","✓","Jan 7, 07:39 PM"
"Y-Shaped","Numba CUDA","772 069","192 308","9.76s","2.56s","4.97s","7508","724 MB","318 MB","✓","Jan 7, 07:39 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.38s","683ms","1.10s","3741","57 MB","80 MB","✓","Jan 7, 07:38 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.48s","650ms","1.22s","3741","59 MB","79 MB","✓","Jan 7, 07:38 PM"
"Y-Shaped","Numba CUDA","195 853","48 607","2.28s","644ms","1.12s","3741","59 MB","80 MB","✓","Jan 7, 07:38 PM"
"Y-Shaped","Numba CUDA","201","52","37ms","<0.01s","32ms","115","0 MB","-","✓","Jan 7, 07:38 PM"
"Y-Shaped","Numba CUDA","201","52","45ms","<0.01s","39ms","115","0 MB","-","✓","Jan 7, 07:38 PM"
"Y-Shaped","Numba CUDA","201","52","39ms","<0.01s","34ms","115","-","-","✓","Jan 7, 07:38 PM"
"Elbow 90°","Numba","1 044 857","346 621","11m 8.0s","877ms","11m 4.6s","27 045","1.60 GB","-","✓","Jan 7, 07:38 PM"
"Elbow 90°","Numba","1 044 857","346 621","11m 9.5s","858ms","11m 6.4s","27 045","1.48 GB","-","✓","Jan 7, 07:38 PM"
"Elbow 90°","Numba","1 044 857","346 621","11m 8.6s","863ms","11m 5.1s","27 045","1.60 GB","-","✓","Jan 7, 07:38 PM"
"Elbow 90°","Numba","623 153","206 435","2m 50.5s","530ms","2m 48.4s","12 497","717 MB","-","✓","Jan 7, 06:53 PM"
"Elbow 90°","Numba","623 153","206 435","2m 56.9s","521ms","2m 54.7s","12 497","720 MB","-","✓","Jan 7, 06:53 PM"
"Elbow 90°","Numba","623 153","206 435","2m 55.1s","522ms","2m 53.1s","12 497","723 MB","-","✓","Jan 7, 06:53 PM"
"Elbow 90°","Numba","161 984","53 344","15.57s","166ms","15.01s","4661","100 MB","-","✓","Jan 7, 06:42 PM"
"Elbow 90°","Numba","161 984","53 344","15.54s","157ms","15.03s","4661","100 MB","-","✓","Jan 7, 06:42 PM"
"Elbow 90°","Numba","161 984","53 344","15.64s","182ms","15.04s","4661","99 MB","-","✓","Jan 7, 06:42 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","141","0 MB","-","✓","Jan 7, 06:41 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","141","0 MB","-","✓","Jan 7, 06:41 PM"
"Elbow 90°","Numba","411","111","<0.01s","<0.01s","<0.01s","141","0 MB","-","✓","Jan 7, 06:41 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","8m 35.9s","1.08s","8m 31.8s","16 202","2.10 GB","-","✓","Jan 7, 06:41 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","14m 11.6s","1.85s","14m 4.6s","16 202","2.10 GB","-","✓","Jan 7, 06:41 PM"
"Backward-Facing Step","Numba","1 283 215","426 686","11m 12.9s","1.06s","11m 8.8s","16 202","2.11 GB","-","✓","Jan 7, 06:41 PM"
"Backward-Facing Step","Numba","766 088","254 551","7m 8.9s","632ms","7m 6.4s","24 749","1008 MB","-","✓","Jan 7, 05:58 PM"
"Backward-Facing Step","Numba","766 088","254 551","7m 9.1s","641ms","7m 6.7s","24 749","1.12 GB","-","✓","Jan 7, 05:58 PM"
"Backward-Facing Step","Numba","766 088","254 551","7m 8.9s","630ms","7m 6.6s","24 749","1.13 GB","-","✓","Jan 7, 05:58 PM"
"Backward-Facing Step","Numba","195 362","64 713","17.08s","191ms","16.38s","4201","120 MB","-","✓","Jan 7, 05:29 PM"
"Backward-Facing Step","Numba","195 362","64 713","16.94s","203ms","16.31s","4201","120 MB","-","✓","Jan 7, 05:29 PM"
"Backward-Facing Step","Numba","195 362","64 713","17.09s","194ms","16.47s","4201","120 MB","-","✓","Jan 7, 05:29 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 7, 05:28 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 7, 05:28 PM"
"Backward-Facing Step","Numba","287","82","<0.01s","<0.01s","<0.01s","137","0 MB","-","✓","Jan 7, 05:28 PM"
"T-Junction","Numba","1 291 289","429 176","14m 22.9s","1.06s","14m 18.7s","26 786","2.14 GB","-","✓","Jan 7, 05:28 PM"
"T-Junction","Numba","1 291 289","429 176","14m 22.2s","1.06s","14m 18.2s","26 786","2.14 GB","-","✓","Jan 7, 05:28 PM"
"T-Junction","Numba","1 291 289","429 176","14m 17.9s","1.05s","14m 13.9s","26 786","2.00 GB","-","✓","Jan 7, 05:28 PM"
"T-Junction","Numba","768 898","255 333","18m 37.9s","635ms","18m 35.3s","65 125","1.06 GB","-","✓","Jan 7, 04:31 PM"
"T-Junction","Numba","768 898","255 333","18m 41.1s","638ms","18m 38.7s","65 125","1.02 GB","-","✓","Jan 7, 04:31 PM"
"T-Junction","Numba","768 898","255 333","18m 49.6s","645ms","18m 47.0s","65 125","1.07 GB","-","✓","Jan 7, 04:31 PM"
"T-Junction","Numba","196 420","64 987","18.08s","204ms","17.41s","4319","121 MB","-","✓","Jan 7, 03:16 PM"
"T-Junction","Numba","196 420","64 987","18.20s","207ms","17.53s","4319","121 MB","-","✓","Jan 7, 03:16 PM"
"T-Junction","Numba","196 420","64 987","18.32s","187ms","17.66s","4319","121 MB","-","✓","Jan 7, 03:16 PM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 7, 03:15 PM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 7, 03:15 PM"
"T-Junction","Numba","393","102","<0.01s","<0.01s","<0.01s","168","0 MB","-","✓","Jan 7, 03:15 PM"
"S-Bend","Numba","1 286 039","427 244","51m 21.2s","1.06s","51m 17.2s","98 374","2.00 GB","-","✓","Jan 7, 03:15 PM"
"S-Bend","Numba","1 286 039","427 244","52m 10.1s","1.06s","52m 6.0s","98 374","2.16 GB","-","✓","Jan 7, 03:15 PM"
"S-Bend","Numba","1 286 039","427 244","53m 18.2s","1.07s","53m 14.2s","98 374","2.01 GB","-","✓","Jan 7, 03:15 PM"
"S-Bend","Numba","765 441","254 034","5m 13.9s","635ms","5m 11.4s","18 687","1.03 GB","-","✓","Jan 7, 11:47 AM"
"S-Bend","Numba","765 441","254 034","5m 14.1s","634ms","5m 11.5s","18 687","1.03 GB","-","✓","Jan 7, 11:47 AM"
"S-Bend","Numba","765 441","254 034","5m 13.8s","633ms","5m 11.2s","18 687","1.04 GB","-","✓","Jan 7, 11:47 AM"
"S-Bend","Numba","196 078","64 787","20.03s","194ms","19.37s","5030","121 MB","-","✓","Jan 7, 11:26 AM"
"S-Bend","Numba","196 078","64 787","20.27s","188ms","19.58s","5030","121 MB","-","✓","Jan 7, 11:26 AM"
"S-Bend","Numba","196 078","64 787","20.66s","186ms","20.02s","5030","121 MB","-","✓","Jan 7, 11:26 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","157","0 MB","-","✓","Jan 7, 11:25 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","157","0 MB","-","✓","Jan 7, 11:25 AM"
"S-Bend","Numba","387","222","<0.01s","<0.01s","<0.01s","157","0 MB","-","✓","Jan 7, 11:25 AM"
"Venturi","Numba","1 284 412","427 017","13m 13.7s","1.02s","13m 9.7s","25 876","2.02 GB","-","✓","Jan 7, 11:25 AM"
"Venturi","Numba","1 284 412","427 017","12m 58.8s","1.02s","12m 54.8s","25 876","2.18 GB","-","✓","Jan 7, 11:25 AM"
"Venturi","Numba","1 284 412","427 017","13m 9.7s","1.08s","13m 5.5s","25 876","2.18 GB","-","✓","Jan 7, 11:25 AM"
"Venturi","Numba","763 707","253 704","4m 38.1s","645ms","4m 35.6s","16 124","1.05 GB","-","✓","Jan 7, 10:32 AM"
"Venturi","Numba","763 707","253 704","4m 34.2s","636ms","4m 31.7s","16 124","1.19 GB","-","✓","Jan 7, 10:32 AM"
"Venturi","Numba","763 707","253 704","4m 34.2s","631ms","4m 31.7s","16 124","1.19 GB","-","✓","Jan 7, 10:32 AM"
"Venturi","Numba","194 325","64 334","17.57s","189ms","16.97s","4370","120 MB","-","✓","Jan 7, 10:13 AM"
"Venturi","Numba","194 325","64 334","17.62s","189ms","16.94s","4370","120 MB","-","✓","Jan 7, 10:13 AM"
"Venturi","Numba","194 325","64 334","17.62s","200ms","16.96s","4370","120 MB","-","✓","Jan 7, 10:13 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","133","0 MB","-","✓","Jan 7, 10:12 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","133","0 MB","-","✓","Jan 7, 10:12 AM"
"Venturi","Numba","341","86","<0.01s","<0.01s","<0.01s","133","0 MB","-","✓","Jan 7, 10:12 AM"
"Y-Shaped","Numba","1 357 953","338 544","5m 33.8s","987ms","5m 29.5s","9871","1.73 GB","-","✓","Jan 7, 10:12 AM"
"Y-Shaped","Numba","1 357 953","338 544","5m 32.8s","1.00s","5m 28.5s","9871","1.74 GB","-","✓","Jan 7, 10:12 AM"
"Y-Shaped","Numba","1 357 953","338 544","5m 37.1s","996ms","5m 32.7s","9871","1.62 GB","-","✓","Jan 7, 10:12 AM"
"Y-Shaped","Numba","772 069","192 308","2m 4.5s","537ms","2m 2.1s","7508","840 MB","-","✓","Jan 7, 09:50 AM"
"Y-Shaped","Numba","772 069","192 308","1m 59.3s","539ms","1m 56.9s","7508","805 MB","-","✓","Jan 7, 09:50 AM"
"Y-Shaped","Numba","772 069","192 308","1m 59.6s","535ms","1m 57.1s","7508","808 MB","-","✓","Jan 7, 09:50 AM"
"Y-Shaped","Numba","195 853","48 607","13.27s","157ms","12.58s","3741","92 MB","-","✓","Jan 7, 09:42 AM"
"Y-Shaped","Numba","195 853","48 607","13.21s","158ms","12.59s","3741","91 MB","-","✓","Jan 7, 09:42 AM"
"Y-Shaped","Numba","195 853","48 607","13.37s","158ms","12.71s","3741","91 MB","-","✓","Jan 7, 09:42 AM"
"Y-Shaped","Numba","201","52","<0.01s","<0.01s","<0.01s","115","0 MB","-","✓","Jan 7, 09:41 AM"
"Y-Shaped","Numba","201","52","<0.01s","<0.01s","<0.01s","115","0 MB","-","✓","Jan 7, 09:41 AM"
"Y-Shaped","Numba","201","52","<0.01s","<0.01s","<0.01s","115","0 MB","-","✓","Jan 7, 09:41 AM"
"Elbow 90°","Multiprocess","1 044 857","346 621","2m 49.3s","11.16s","370ms","0","1.49 GB","-","✓","Jan 7, 09:41 AM"
"Elbow 90°","Multiprocess","1 044 857","346 621","2m 47.2s","11.25s","371ms","0","1.49 GB","-","✓","Jan 7, 09:41 AM"
"Elbow 90°","Multiprocess","1 044 857","346 621","2m 52.3s","11.28s","364ms","0","1.49 GB","-","✓","Jan 7, 09:41 AM"
"Elbow 90°","Multiprocess","623 153","206 435","1m 28.0s","9.64s","193ms","0","889 MB","-","✓","Jan 7, 09:30 AM"
"Elbow 90°","Multiprocess","623 153","206 435","1m 27.1s","9.68s","206ms","0","893 MB","-","✓","Jan 7, 09:30 AM"
"Elbow 90°","Multiprocess","623 153","206 435","1m 27.0s","9.72s","201ms","0","894 MB","-","✓","Jan 7, 09:30 AM"
"Elbow 90°","Multiprocess","161 984","53 344","25.48s","8.07s","42ms","0","99 MB","-","✓","Jan 7, 09:24 AM"
"Elbow 90°","Multiprocess","161 984","53 344","25.63s","8.16s","41ms","0","100 MB","-","✓","Jan 7, 09:24 AM"
"Elbow 90°","Multiprocess","161 984","53 344","25.87s","8.20s","42ms","0","97 MB","-","✓","Jan 7, 09:24 AM"
"Elbow 90°","Multiprocess","411","111","4.73s","2.35s","<0.01s","0","0 MB","-","✓","Jan 7, 09:22 AM"
"Elbow 90°","Multiprocess","411","111","4.90s","2.50s","<0.01s","0","0 MB","-","✓","Jan 7, 09:22 AM"
"Elbow 90°","Multiprocess","411","111","4.99s","2.62s","<0.01s","0","0 MB","-","✓","Jan 7, 09:22 AM"
"Backward-Facing Step","Multiprocess","1 283 215","426 686","1m 45.4s","12.09s","463ms","0","2.18 GB","-","✓","Jan 7, 09:22 AM"
"Backward-Facing Step","Multiprocess","1 283 215","426 686","1m 43.8s","11.81s","481ms","0","1.93 GB","-","✓","Jan 7, 09:22 AM"
"Backward-Facing Step","Multiprocess","1 283 215","426 686","1m 46.1s","11.84s","462ms","0","2.07 GB","-","✓","Jan 7, 09:22 AM"
"Backward-Facing Step","Multiprocess","766 088","254 551","58.32s","10.24s","254ms","0","1.05 GB","-","✓","Jan 7, 09:15 AM"
"Backward-Facing Step","Multiprocess","766 088","254 551","57.89s","10.24s","264ms","0","1.06 GB","-","✓","Jan 7, 09:15 AM"
"Backward-Facing Step","Multiprocess","766 088","254 551","58.31s","10.15s","252ms","0","1.06 GB","-","✓","Jan 7, 09:15 AM"
"Backward-Facing Step","Multiprocess","195 362","64 713","21.30s","8.16s","57ms","0","121 MB","-","✓","Jan 7, 09:11 AM"
"Backward-Facing Step","Multiprocess","195 362","64 713","21.48s","8.20s","50ms","0","120 MB","-","✓","Jan 7, 09:11 AM"
"Backward-Facing Step","Multiprocess","195 362","64 713","21.36s","8.27s","52ms","0","121 MB","-","✓","Jan 7, 09:11 AM"
"Backward-Facing Step","Multiprocess","287","82","4.01s","1.71s","<0.01s","0","0 MB","-","✓","Jan 7, 09:09 AM"
"Backward-Facing Step","Multiprocess","287","82","3.93s","1.55s","<0.01s","0","0 MB","-","✓","Jan 7, 09:09 AM"
"Backward-Facing Step","Multiprocess","287","82","4.19s","1.58s","<0.01s","0","0 MB","-","✓","Jan 7, 09:09 AM"
"T-Junction","Multiprocess","1 291 289","429 176","1m 18.3s","11.86s","490ms","0","2.11 GB","-","✓","Jan 7, 09:09 AM"
"T-Junction","Multiprocess","1 291 289","429 176","1m 17.8s","11.99s","480ms","0","2.22 GB","-","✓","Jan 7, 09:09 AM"
"T-Junction","Multiprocess","1 291 289","429 176","1m 18.1s","12.15s","500ms","0","1.99 GB","-","✓","Jan 7, 09:09 AM"
"T-Junction","Multiprocess","768 898","255 333","45.53s","10.15s","251ms","0","1.05 GB","-","✓","Jan 7, 09:04 AM"
"T-Junction","Multiprocess","768 898","255 333","45.25s","10.17s","240ms","0","1.06 GB","-","✓","Jan 7, 09:04 AM"
"T-Junction","Multiprocess","768 898","255 333","45.75s","10.27s","252ms","0","1.07 GB","-","✓","Jan 7, 09:04 AM"
"T-Junction","Multiprocess","196 420","64 987","19.99s","8.26s","50ms","0","149 MB","-","✓","Jan 7, 09:01 AM"
"T-Junction","Multiprocess","196 420","64 987","19.98s","8.30s","57ms","0","152 MB","-","✓","Jan 7, 09:01 AM"
"T-Junction","Multiprocess","196 420","64 987","19.86s","8.25s","50ms","0","153 MB","-","✓","Jan 7, 09:01 AM"
"T-Junction","Multiprocess","393","102","4.82s","2.36s","<0.01s","0","0 MB","-","✓","Jan 7, 08:59 AM"
